[PowderLattice 1]
2.0*thetadeg
  81.66272 1.0   -13     1     1
  82.53041 1.0   -13     1     2
  83.97283 1.0   -13     1     3
  85.98601 1.0   -13     1     4
  88.56746 1.0   -13     1     5
  89.42703 1.0   -13     2    -5
  86.84714 1.0   -13     2    -4
  84.83639 1.0   -13     2    -3
  83.39637 1.0   -13     2    -2
  82.53041 1.0   -13     2    -1
  82.24138 1.0   -13     2     0
  82.53041 1.0   -13     2     1
  83.39637 1.0   -13     2     2
  84.83639 1.0   -13     2     3
  86.84714 1.0   -13     2     4
  89.42703 1.0   -13     2     5
  88.28087 1.0   -13     3    -4
  86.27315 1.0   -13     3    -3
  84.83639 1.0   -13     3    -2
  83.97283 1.0   -13     3    -1
  83.68468 1.0   -13     3     0
  83.97283 1.0   -13     3     1
  84.83639 1.0   -13     3     2
  86.27315 1.0   -13     3     3
  88.28087 1.0   -13     3     4
  90.28648 1.0   -13     4    -4
  88.28087 1.0   -13     4    -3
  86.84714 1.0   -13     4    -2
  85.98601 1.0   -13     4    -1
  85.69878 1.0   -13     4     0
  85.98601 1.0   -13     4     1
  86.84714 1.0   -13     4     2
  88.28087 1.0   -13     4     3
  90.28648 1.0   -13     4     4
  89.42703 1.0   -13     5    -2
  88.56746 1.0   -13     5    -1
  88.28087 1.0   -13     5     0
  88.56746 1.0   -13     5     1
  89.42703 1.0   -13     5     2
  89.14053 1.0   -12    -7    -2
  88.28087 1.0   -12    -7    -1
  87.99424 1.0   -12    -7     0
  88.28087 1.0   -12    -7     1
  89.14053 1.0   -12    -7     2
  88.85401 1.0   -12    -6    -4
  86.84714 1.0   -12    -6    -3
  85.41143 1.0   -12    -6    -2
  84.54868 1.0   -12    -6    -1
  84.26083 1.0   -12    -6     0
  84.54868 1.0   -12    -6     1
  85.41143 1.0   -12    -6     2
  86.84714 1.0   -12    -6     3
  88.85401 1.0   -12    -6     4
  88.28087 1.0   -12    -5    -5
  85.69878 1.0   -12    -5    -4
  83.68468 1.0   -12    -5    -3
  82.24138 1.0   -12    -5    -2
  81.37307 1.0   -12    -5    -1
  81.08320 1.0   -12    -5     0
  81.37307 1.0   -12    -5     1
  82.24138 1.0   -12    -5     2
  83.68468 1.0   -12    -5     3
  85.69878 1.0   -12    -5     4
  88.28087 1.0   -12    -5     5
  88.85401 1.0   -12    -4    -6
