M27_Mo2C/1	
θ/2θ, °	Intensity, cps
8.47000026702881	39877.34765625
8.47999954223633	39687.41796875
8.48999977111816	38864.71875
8.5	39144.73046875
8.51000022888184	38666.4921875
8.52000045776367	38822.421875
8.52999973297119	38893.01953125
8.53999996185303	39354.046875
8.55000019073486	39525.625
8.5600004196167	38131.3046875
8.56999969482422	38472.5078125
8.57999992370605	38197.671875
8.59000015258789	38651.234375
8.60000038146973	38773.60546875
8.60999965667725	38617.6640625
8.61999988555908	39636.953125
8.63000011444092	40031.11328125
8.64000034332275	39551.01171875
8.64999961853027	39104.23828125
8.65999984741211	39355.76171875
8.67000007629395	39398.80859375
8.68000030517578	38820.0390625
8.6899995803833	38655.4921875
8.69999980926514	38722.67578125
8.71000003814697	38820.0703125
8.72000026702881	38050.94921875
8.72999954223633	37889.19921875
8.73999977111816	37093.40234375
8.75	37262.59765625
8.76000022888184	37438.1328125
8.77000045776367	37988.44140625
8.77999973297119	37328.76171875
8.78999996185303	38125.4140625
8.80000019073486	37952.81640625
8.8100004196167	37632.30078125
8.81999969482422	37683.8203125
8.82999992370605	38679.203125
8.84000015258789	38049.1484375
8.85000038146973	38473.06640625
8.85999965667725	38033.66015625
8.86999988555908	38035.8515625
8.88000011444092	38921.875
8.89000034332275	38664.98828125
8.89999961853027	37742.953125
8.90999984741211	37289.75
8.92000007629395	38101.640625
8.93000030517578	37703.70703125
8.9399995803833	37943.21484375
8.94999980926514	38200.74609375
8.96000003814697	38150.7890625
8.97000026702881	37390.046875
8.97999954223633	37568.37890625
8.98999977111816	38313.33203125
9	37488.51953125
9.01000022888184	37965.765625
9.02000045776367	37965.24609375
9.02999973297119	37953.203125
9.03999996185303	38494.6953125
9.05000019073486	38728.3828125
9.0600004196167	38160.6015625
9.06999969482422	37065.9296875
9.07999992370605	37671.55078125
9.09000015258789	38374.21875
9.10000038146973	37486.05078125
9.10999965667725	37040.69140625
9.11999988555908	37369.3359375
9.13000011444092	37401.69140625
9.14000034332275	37564.13671875
9.14999961853027	36961.18359375
9.15999984741211	37715.90625
9.17000007629395	36835.62890625
9.18000030517578	36799.63671875
9.1899995803833	36238.3046875
9.19999980926514	36321.7109375
9.21000003814697	37016.30078125
9.22000026702881	36663.71484375
9.22999954223633	36276.44921875
9.23999977111816	37756.390625
9.25	37565.95703125
9.26000022888184	37366.203125
9.27000045776367	37116.6875
9.27999973297119	37188.1796875
9.28999996185303	36626.5546875
9.30000019073486	36656.02734375
9.3100004196167	36514.125
9.31999969482422	36519.73828125
9.32999992370605	37125.66796875
9.34000015258789	36973.7109375
9.35000038146973	36584.96875
9.35999965667725	36828.8203125
9.36999988555908	35860.2890625
9.38000011444092	36782.92578125
9.39000034332275	36958.9921875
9.39999961853027	36139.57421875
9.40999984741211	35120.6640625
9.42000007629395	36306.87109375
9.43000030517578	35750.88671875
9.4399995803833	36431.17578125
9.44999980926514	37416.2734375
9.46000003814697	37083.17578125
9.47000026702881	36755.1328125
9.47999954223633	35978.61328125
9.48999977111816	35726.53125
9.5	35414.53125
9.51000022888184	34982.62890625
9.52000045776367	35108.81640625
9.52999973297119	36115.55078125
9.53999996185303	35997.7734375
9.55000019073486	35912.5078125
9.5600004196167	36057.22265625
9.56999969482422	36018.8046875
9.57999992370605	36174.73828125
9.59000015258789	34701.3125
9.60000038146973	35581.4765625
9.60999965667725	35452.43359375
9.61999988555908	36075.0234375
9.63000011444092	36020.6640625
9.64000034332275	35238.0234375
9.64999961853027	35115.125
9.65999984741211	34721.8671875
9.67000007629395	35044.5234375
9.68000030517578	34715.3359375
9.6899995803833	35077.33984375
9.69999980926514	35074.2109375
9.71000003814697	34535.87109375
9.72000026702881	35517.5703125
9.72999954223633	35718.71484375
9.73999977111816	34952.421875
9.75	34997.0234375
9.76000022888184	35731.97265625
9.77000045776367	35657.890625
9.77999973297119	35878.5625
9.78999996185303	35674.52734375
9.80000019073486	35316.52734375
9.8100004196167	34772.0390625
9.81999969482422	34938.66015625
9.82999992370605	34644.23046875
9.84000015258789	35627.12109375
9.85000038146973	36319.46484375
9.85999965667725	35457.6015625
9.86999988555908	35440.65625
9.88000011444092	35226.125
9.89000034332275	35217.765625
9.89999961853027	34916.21484375
9.90999984741211	34696.81640625
9.92000007629395	34729.51171875
9.93000030517578	35015.17578125
9.9399995803833	34616.82421875
9.94999980926514	34567.2421875
9.96000003814697	34453.5625
9.97000026702881	34296.75390625
9.97999954223633	34542.1796875
9.98999977111816	34879.0234375
10	34464.04296875
10.0100002288818	35262.8359375
10.0200004577637	34751.44921875
10.0299997329712	34946.01171875
10.039999961853	34945.69140625
10.0500001907349	34414.2578125
10.0600004196167	34357.22265625
10.0699996948242	34249.33984375
10.0799999237061	33710.92578125
10.0900001525879	33295.68359375
10.1000003814697	33904.58203125
10.1099996566772	34234.7578125
10.1199998855591	34234.10546875
10.1300001144409	33805.2109375
10.1400003433228	33308.79296875
10.1499996185303	33610.49609375
10.1599998474121	33869.07421875
10.1700000762939	33816.96484375
10.1800003051758	34058.3515625
10.1899995803833	33388.10546875
10.1999998092651	34048.96484375
10.210000038147	33470.03515625
10.2200002670288	33732.4921875
10.2299995422363	33617.28515625
10.2399997711182	34421.5234375
10.25	34205.5703125
10.2600002288818	32974.41015625
10.2700004577637	33289.328125
10.2799997329712	32942.51953125
10.289999961853	33993.6015625
10.3000001907349	33677.00390625
10.3100004196167	32937.8046875
10.3199996948242	33147.515625
10.3299999237061	33497.46875
10.3400001525879	33510.91796875
10.3500003814697	33424.3359375
10.3599996566772	33174.9609375
10.3699998855591	33358.28125
10.3800001144409	32945.97265625
10.3900003433228	32672.400390625
10.3999996185303	33507.35546875
10.4099998474121	33819.01953125
10.4200000762939	34150.91796875
10.4300003051758	34154.8515625
10.4399995803833	33063.86328125
10.4499998092651	33940.45703125
10.460000038147	34090.53515625
10.4700002670288	33271.30078125
10.4799995422363	32289.142578125
10.4899997711182	32379.787109375
10.5	32831.48046875
10.5100002288818	33174.921875
10.5200004577637	33039.31640625
10.5299997329712	32949.72265625
10.539999961853	32950.37890625
10.5500001907349	33102.984375
10.5600004196167	33292.8203125
10.5699996948242	33609.63671875
10.5799999237061	33533.01953125
10.5900001525879	32855.5703125
10.6000003814697	33323.46484375
10.6099996566772	33144.15234375
10.6199998855591	33203.5859375
10.6300001144409	32892.20703125
10.6400003433228	32699.583984375
10.6499996185303	33036.734375
10.6599998474121	33013.68359375
10.6700000762939	32647.44140625
10.6800003051758	32642.14453125
10.6899995803833	32779.890625
10.6999998092651	32766.146484375
10.710000038147	32953.97265625
10.7200002670288	33516.7109375
10.7299995422363	33025.12109375
10.7399997711182	33203.12109375
10.75	33143.81640625
10.7600002288818	32691.3515625
10.7700004577637	32513.970703125
10.7799997329712	33116.58984375
10.789999961853	33568.8046875
10.8000001907349	33526.2890625
10.8100004196167	33057.421875
10.8199996948242	32274.896484375
10.8299999237061	32204.568359375
10.8400001525879	32463.53125
10.8500003814697	33033.25390625
10.8599996566772	32928.0859375
10.8699998855591	32571.9765625
10.8800001144409	32495.220703125
10.8900003433228	32497.52734375
10.8999996185303	32626.0390625
10.9099998474121	32450.91015625
10.9200000762939	32283.0703125
10.9300003051758	32765.984375
10.9399995803833	32911.80078125
10.9499998092651	32368.611328125
10.960000038147	32148.251953125
10.9700002670288	32548.48046875
10.9799995422363	32090.859375
10.9899997711182	32505.513671875
11	32944.26171875
11.0100002288818	32176.95703125
11.0200004577637	31825.61328125
11.0299997329712	31761.423828125
11.039999961853	32218.53125
11.0500001907349	32432.87890625
11.0600004196167	32345.498046875
11.0699996948242	32745.845703125
11.0799999237061	32242.533203125
11.0900001525879	32405.494140625
11.1000003814697	32284.943359375
11.1099996566772	32812.05859375
11.1199998855591	32547.263671875
11.1300001144409	32516.375
11.1400003433228	32556.85546875
11.1499996185303	32275.345703125
11.1599998474121	31928.47265625
11.1700000762939	31787.201171875
11.1800003051758	31544.052734375
11.1899995803833	31542.43359375
11.1999998092651	31734.431640625
11.210000038147	31855.044921875
11.2200002670288	31937.740234375
11.2299995422363	31959.875
11.2399997711182	31527.19921875
11.25	31322.935546875
11.2600002288818	31677.712890625
11.2700004577637	31499.640625
11.2799997329712	31316.7578125
11.289999961853	32317.265625
11.3000001907349	32862.57421875
11.3100004196167	32691.583984375
11.3199996948242	32275.275390625
11.3299999237061	31495.830078125
11.3400001525879	30923.8125
11.3500003814697	31417.046875
11.3599996566772	31565.73046875
11.3699998855591	31936.365234375
11.3800001144409	31896.388671875
11.3900003433228	31540.734375
11.3999996185303	31526.78125
11.4099998474121	31237.03125
11.4200000762939	31295.14453125
11.4300003051758	31259.087890625
11.4399995803833	31470.822265625
11.4499998092651	31856.91015625
11.460000038147	31666.30859375
11.4700002670288	31479.9921875
11.4799995422363	31179.1953125
11.4899997711182	31490.107421875
11.5	31273.494140625
11.5100002288818	30961.041015625
11.5200004577637	31117.57421875
11.5299997329712	31513.068359375
11.539999961853	31897.505859375
11.5500001907349	31857.349609375
11.5600004196167	31285.546875
11.5699996948242	30895.234375
11.5799999237061	30905.22265625
11.5900001525879	31119.412109375
11.6000003814697	31216.763671875
11.6099996566772	31780.619140625
11.6199998855591	31937.37109375
11.6300001144409	31434.228515625
11.6400003433228	30848.09375
11.6499996185303	30630.86328125
11.6599998474121	30775.197265625
11.6700000762939	31052.267578125
11.6800003051758	31035.8125
11.6899995803833	30894.3671875
11.6999998092651	30507.576171875
11.710000038147	30772.40234375
11.7200002670288	31252.646484375
11.7299995422363	31483.875
11.7399997711182	31233.978515625
11.75	31003.048828125
