[PowderGraph 1]
2thetadeg	d-value	intx	sigx	count
   2.98049     29.61850    0.00000    0.00000          0
   2.99049     29.51949    0.00000    0.00000          0
   3.00049     29.42115    0.00000    0.00000          0
   3.01049     29.32346    0.00000    0.00000          0
   3.02048     29.22642    0.00000    0.00000          0
   3.03048     29.13001    0.00000    0.00000          0
   3.04048     29.03425    0.00000    0.00000          0
   3.05048     28.93910    0.00000    0.00000          0
   3.06048     28.84459    0.00000    0.00000          0
   3.07048     28.75068    0.00000    0.00000          0
   3.08047     28.65739    0.00000    0.00000          0
   3.09047     28.56470    0.00000    0.00000          0
   3.10047     28.47261    0.00000    0.00000          0
   3.11047     28.38111    0.00000    0.00000          0
   3.12047     28.29019    0.00000    0.00000          0
   3.13047     28.19986    0.00000    0.00000          0
   3.14046     28.11010    0.00000    0.00000          0
   3.15046     28.02091    0.00000    0.00000          0
   3.16046     27.93229    0.00000    0.00000          0
   3.17046     27.84423    0.00000    0.00000          0
   3.18046     27.75672    0.00000    0.00000          0
   3.19045     27.66975    0.00000    0.00000          0
   3.20045     27.58334    0.00000    0.00000          0
   3.21045     27.49746    0.00000    0.00000          0
   3.22045     27.41211    0.00000    0.00000          0
   3.23045     27.32729    0.00000    0.00000          0
   3.24045     27.24300    0.00000    0.00000          0
   3.25044     27.15922    0.00000    0.00000          0
   3.26044     27.07596    0.00000    0.00000          0
   3.27044     26.99320    0.00000    0.00000          0
   3.28044     26.91095    0.00000    0.00000          0
   3.29044     26.82920    0.00000    0.00000          0
   3.30044     26.74795    0.00000    0.00000          0
   3.31043     26.66719    0.00000    0.00000          0
   3.32043     26.58691    0.00000    0.00000          0
   3.33043     26.50712   37.71771    1.93488          2
   3.34043     26.42780   36.73503    1.27776          2
   3.35043     26.34896   34.76967    2.59881          1
   3.36043     26.27058   35.53877    1.53924          1
   3.37042     26.19268   36.30786    1.55580          1
   3.38042     26.11523   37.06872    0.90761          3
   3.39042     26.03824   37.28471    0.64364          6
   3.40042     25.96170   39.00895    1.92651         10
   3.41042     25.88561   38.85915    0.50898         10
   3.42042     25.80997   39.27240    2.98583         13
   3.43041     25.73476   40.64690    0.42503         15
   3.44041     25.66000   41.20503    0.39065         18
   3.45041     25.58566   41.24486    0.35353         22
   3.46041     25.51176   42.33420    0.31748         28
   3.47041     25.43828   42.73363    2.49228         34
   3.48041     25.36523   43.51468    2.85688         36
   3.49040     25.29259   43.59633    3.25854         41
   3.50040     25.22037   44.27283    0.26509         42
   3.51040     25.14856   44.94755    0.26711         42
   3.52040     25.07716   45.44653    0.25664         46
   3.53040     25.00616   46.43333    2.76506         46
   3.54040     24.93556   47.13861    0.25325         49
   3.55039     24.86536   46.98651    1.94265         55
   3.56039     24.79556   48.18351    3.54252         52
   3.57039     24.72615   48.02246    0.24462         54
   3.58039     24.65712   48.81754    0.25324         51
   3.59039     24.58848   49.29416    0.24901         53
   3.60038     24.52022   49.55918    0.25706         50
   3.61038     24.45234   50.34513    2.77984         58
   3.62038     24.38483   51.62335    1.82062         56
   3.63038     24.31769   51.75532    2.29853         65
   3.64038     24.25093   52.16959    3.68895         57
   3.65038     24.18453   53.07958    2.56570         66
   3.66037     24.11849   55.25053    2.64299         64
   3.67037     24.05281   56.47251    0.22710         73
   3.68037     23.98749   58.49311    1.80945         78
   3.69037     23.92253   59.21624    1.84332         98
   3.70037     23.85791   61.52585    1.36623        106
   3.71037     23.79364   62.24623    4.26504        133
   3.72036     23.72972   63.81066    1.47680        148
   3.73036     23.66614   65.32149    0.16052        169
   3.74036     23.60290   65.79341    1.70619        200
   3.75036     23.54000   66.59578    1.86872        240
   3.76036     23.47743   67.25950    1.22839        284
   3.77036     23.41520   67.05561    1.65633        358
   3.78035     23.35329   67.67498    1.34174        396
   3.79035     23.29171   67.04457    1.21319        513
   3.80035     23.23046   67.65732    1.25985        543
   3.81035     23.16952   67.22210    1.09671        701
   3.82035     23.10891   67.49204    1.45829        744
   3.83035     23.04861   67.04926    1.04944        914
   3.84034     22.98863   67.21263    0.94506        988
   3.85034     22.92895   66.63641    1.01104       1183
   3.86034     22.86959   66.82867    1.04090       1326
   3.87034     22.81053   66.31646    1.03733       1507
   3.88034     22.75178   66.32371    0.86833       1671
   3.89034     22.69333   65.84786    1.08400       1828
   3.90033     22.63518   65.84800    1.10657       1936
   3.91033     22.57732   65.31992    0.79902       2201
   3.92033     22.51977   65.20831    0.89018       2231
   3.93033     22.46250   64.79102    0.90337       2523
   3.94033     22.40553   64.63719    0.94363       2616
   3.95033     22.34884   64.23004    0.79074       2892
   3.96032     22.29244   64.15506    0.83615       3020
   3.97032     22.23633   63.74996    0.77600       3258
   3.98032     22.18049   63.61163    0.72862       3360
   3.99032     22.12494   63.38039    0.82845       3575
   4.00032     22.06966   63.17611    0.83069       3741
   4.01031     22.01466   62.96215    0.67359       3929
   4.02031     21.95993   62.68061    0.79772       4127
   4.03031     21.90548   62.51747    0.66317       4275
   4.04031     21.85129   62.36128    0.76386       4526
   4.05031     21.79737   62.14891    0.68304       4668
   4.06031     21.74372   62.03283    0.69647       4837
   4.07030     21.69033   61.77161    0.72383       5027
   4.08030     21.63721   61.68493    0.60842       5219
   4.09030     21.58434   61.47388    0.70618       5372
   4.10030     21.53173   61.37411    0.70540       5463
   4.11030     21.47938   61.09935    0.69257       5704
   4.12030     21.42728   61.03045    0.74717       5727
   4.13029     21.37543   60.72028    0.60464       5977
   4.14029     21.32383   60.81314    0.70240       6119
   4.15029     21.27248   60.45357    0.61243       6436
   4.16029     21.22138   60.63864    0.59042       6573
   4.17029     21.17053   60.37807    0.65559       6840
   4.18029     21.11992   60.34400    0.62875       6853
   4.19028     21.06954   60.13339    0.67210       7092
   4.20028     21.01941   60.04337    0.59157       7145
   4.21028     20.96952   59.85545    0.59385       7301
   4.22028     20.91986   59.77440    0.74376       7429
   4.23028     20.87044   59.59250    0.66031       7547
   4.24028     20.82125   59.47365    0.68252       7737
   4.25027     20.77230   59.31369    0.58325       7706
   4.26027     20.72357   59.14628    0.65795       7838
   4.27027     20.67507   59.00332    0.68373       7918
   4.28027     20.62680   58.88560    0.61263       8051
   4.29027     20.57875   58.76326    0.56939       8148
   4.30027     20.53092   58.53755    0.54086       8128
   4.31026     20.48332   58.45686    0.56126       8362
   4.32026     20.43594   58.35200    0.65885       8424
   4.33026     20.38878   58.16146    0.66782       8477
   4.34026     20.34183   58.04002    0.61364       8586
   4.35026     20.29510   57.79559    0.63592       8543
   4.36026     20.24859   57.72811    0.70547       8636
   4.37025     20.20228   57.57050    0.58328       8713
   4.38025     20.15619   57.40581    0.71926       8704
   4.39025     20.11031   57.16355    0.63370       8516
   4.40025     20.06464   57.01805    0.50482       8526
   4.41025     20.01917   56.87852    0.50639       8764
   4.42024     19.97392   56.82796    0.63366       8788
   4.43024     19.92886   56.64148    0.58716       8924
   4.44024     19.88401   56.49974    0.69238       8867
   4.45024     19.83936   56.32877    0.56918       8935
   4.46024     19.79491   56.21028    0.59886       8938
   4.47024     19.75065   56.11375    0.71270       8977
   4.48023     19.70660   55.90655    0.54419       9052
   4.49023     19.66274   55.83202    0.63622       9046
   4.50023     19.61908   55.62789    0.57780       8973
   4.51023     19.57561   55.48407    0.65631       8911
   4.52023     19.53233   55.30289    0.53095       9049
   4.53023     19.48925   55.23345    0.53645       9104
   4.54022     19.44635   55.07724    0.53781       9236
   4.55022     19.40364   55.01125    0.57785       9070
   4.56022     19.36112   54.78209    0.57308       9182
   4.57022     19.31879   54.75387    0.63745       9180
   4.58022     19.27664   54.58306    0.57402       9351
   4.59022     19.23468   54.53781    0.55875       9324
   4.60021     19.19289   54.31631    0.69482       9236
   4.61021     19.15129   54.23808    0.60028       9262
   4.62021     19.10987   54.07148    0.51867       9412
   4.63021     19.06863   54.04753    0.69642       9344
   4.64021     19.02756   53.79174    0.53388       9238
   4.65021     18.98667   53.69478    0.52138       9281
   4.66020     18.94596   53.69747    0.53360       9382
   4.67020     18.90542   53.45213    0.55508       9375
   4.68020     18.86506   53.47525    0.59776       9550
   4.69020     18.82486   53.31698    0.56749       9506
   4.70020     18.78484   53.26043    0.56773       9487
   4.71020     18.74499   53.12684    0.63635       9538
   4.72019     18.70531   52.98377    0.53678       9472
   4.73019     18.66579   52.90520    0.54582       9525
   4.74019     18.62644   52.81339    0.59240       9596
   4.75019     18.58726   52.75814    0.57164       9638
   4.76019     18.54824   52.57269    0.52985       9522
   4.77018     18.50939   52.49822    0.59557       9637
   4.78018     18.47069   52.34734    0.54293       9616
   4.79018     18.43216   52.32827    0.50614       9619
   4.80018     18.39379   52.19684    0.55977       9718
   4.81018     18.35558   52.15785    0.53079       9711
   4.82018     18.31753   52.05379    0.60548       9744
   4.83017     18.27964   51.91022    0.49521       9643
   4.84017     18.24190   51.86550    0.58535       9728
   4.85017     18.20432   51.80438    0.63479       9899
   4.86017     18.16689   51.73392    0.52792       9941
   4.87017     18.12962   51.61364    0.53016       9971
   4.88017     18.09250   51.47686    0.61278       9631
   4.89016     18.05553   51.31197    0.59003       9706
   4.90016     18.01871   51.39425    0.47030       9768
   4.91016     17.98204   51.23444    0.52077      10096
   4.92016     17.94552   51.24304    0.63613       9936
   4.93016     17.90915   51.01967    0.46874       9957
   4.94016     17.87293   51.05091    0.53610       9865
   4.95015     17.83685   50.90117    0.50133      10047
   4.96015     17.80092   50.95358    0.58249      10140
   4.97015     17.76513   50.74120    0.57709      10120
   4.98015     17.72949   50.73512    0.50950      10041
   4.99015     17.69399   50.55570    0.66573      10042
   5.00015     17.65863   50.56486    0.60597      10132
   5.01014     17.62341   50.40250    0.48601      10059
   5.02014     17.58833   50.38766    0.49842      10112
   5.03014     17.55340   50.25243    0.47072      10130
   5.04014     17.51860   50.18319    0.56170      10109
   5.05014     17.48394   50.09309    0.47845      10072
