2thetadeg,intx,d-value,sigx,count
2.80052,0.0,31.52145,0.0,0
2.81052,0.0,31.40933,0.0,0
2.82052,0.0,31.29801,0.0,0
2.83052,0.0,31.18748,0.0,0
2.84051,0.0,31.07773,0.0,0
2.85051,0.0,30.96874,0.0,0
2.86051,0.0,30.86052,0.0,0
2.87051,0.0,30.75305,0.0,0
2.88051,0.0,30.64633,0.0,0
2.89051,0.0,30.54035,0.0,0
2.9005,0.0,30.43509,0.0,0
2.9105,0.0,30.33056,0.0,0
2.9205,0.0,30.22675,0.0,0
2.9305,0.0,30.12364,0.0,0
2.9405,0.0,30.02124,0.0,0
2.9505,0.0,29.91953,0.0,0
2.96049,0.0,29.81851,0.0,0
2.97049,0.0,29.71816,0.0,0
2.98049,0.0,29.6185,0.0,0
2.99049,0.0,29.51949,0.0,0
3.00049,0.0,29.42115,0.0,0
3.01049,0.0,29.32346,0.0,0
3.02048,0.0,29.22642,0.0,0
3.03048,0.0,29.13001,0.0,0
3.04048,0.0,29.03425,0.0,0
3.05048,0.0,28.9391,0.0,0
3.06048,0.0,28.84459,0.0,0
3.07048,0.0,28.75068,0.0,0
3.08047,0.0,28.65739,0.0,0
3.09047,0.0,28.5647,0.0,0
3.10047,0.0,28.47261,0.0,0
3.11047,0.0,28.38111,0.0,0
3.12047,0.0,28.29019,0.0,0
3.13047,0.0,28.19986,0.0,0
3.14046,0.0,28.1101,0.0,0
3.15046,0.0,28.02091,0.0,0
3.16046,0.0,27.93229,0.0,0
3.17046,0.0,27.84423,0.0,0
3.18046,0.0,27.75672,0.0,0
3.19045,0.0,27.66975,0.0,0
3.20045,0.0,27.58334,0.0,0
3.21045,0.0,27.49746,0.0,0
3.22045,0.0,27.41211,0.0,0
3.23045,0.0,27.32729,0.0,0
3.24045,0.0,27.243,0.0,0
3.25044,0.0,27.15922,0.0,0
3.26044,0.0,27.07596,0.0,0
3.27044,0.0,26.9932,0.0,0
3.28044,0.0,26.91095,0.0,0
3.29044,0.0,26.8292,0.0,0
3.30044,0.0,26.74795,0.0,0
3.31043,16.94821,26.66719,1.74807,3
3.32043,17.105,26.58691,0.53393,4
3.33043,17.26625,26.50712,0.40551,7
3.34043,17.1144,26.4278,1.28278,15
3.35043,17.22414,26.34896,1.69714,25
3.36043,17.29536,26.27058,1.77447,35
3.37042,17.24691,26.19268,0.94655,52
3.38042,17.1751,26.11523,1.73495,74
3.39042,16.95598,26.03824,1.56092,99
3.40042,16.93551,25.9617,1.73755,127
3.41042,16.78285,25.88561,0.74316,161
3.42042,16.7343,25.80997,1.20456,198
3.43041,16.76655,25.73476,0.86698,253
3.44041,16.79734,25.66,1.34486,298
3.45041,16.83162,25.58566,0.76906,343
3.46041,16.91012,25.51176,0.98455,404
3.47041,17.13928,25.43828,0.6129,473
3.48041,17.27991,25.36523,0.73749,537
3.4904,17.67149,25.29259,0.51292,610
3.5004,18.15629,25.22037,0.70196,697
3.5104,18.50283,25.14856,0.69934,789
3.5204,18.93349,25.07716,0.50262,906
3.5304,19.45052,25.00616,0.52021,1044
3.5404,19.912,24.93556,1.11661,1132
3.55039,20.54809,24.86536,0.48007,1285
3.56039,20.84794,24.79556,0.66326,1416
3.57039,21.38538,24.72615,0.4878,1598
3.58039,21.85574,24.65712,0.53418,1742
3.59039,22.19217,24.58848,0.81525,1869
3.60038,22.60321,24.52022,0.71229,2024
3.61038,22.95154,24.45234,0.52641,2170
3.62038,23.25518,24.38483,0.70994,2325
3.63038,23.68052,24.31769,0.52212,2412
3.64038,23.88178,24.25093,0.55524,2666
3.65038,23.87,24.18453,0.63367,2820
3.66037,24.1156,24.11849,0.4828,3043
3.67037,24.34772,24.05281,0.43688,3167
3.68037,24.50589,23.98749,0.70189,3457
3.69037,24.68143,23.92253,0.41863,3619
3.70037,25.02284,23.85791,0.58398,3698
3.71037,25.15109,23.79364,0.57792,3857
3.72036,25.2904,23.72972,0.5822,3893
3.73036,25.65636,23.66614,0.42537,4170
3.74036,25.83379,23.6029,0.51239,4155
3.75036,26.14518,23.54,0.71317,4384
3.76036,26.53481,23.47743,0.4624,4344
3.77036,26.72213,23.4152,0.45774,4613
3.78035,27.0124,23.35329,0.53222,4643
3.79035,27.16753,23.29171,0.4602,4964
3.80035,27.51706,23.23046,0.4375,4962
3.81035,27.83181,23.16952,0.43334,5074
3.82035,28.4675,23.10891,0.51802,5244
3.83035,28.77081,23.04861,0.46332,5335
3.84034,29.0209,22.98863,0.57549,5484
3.85034,29.42981,22.92895,0.46193,5558
3.86034,29.87303,22.86959,0.47531,5561
3.87034,30.10257,22.81053,0.59495,5735
3.88034,30.75452,22.75178,0.43303,5688
3.89034,31.07984,22.69333,0.42424,6009
3.90033,31.72751,22.63518,0.47407,5922
3.91033,32.13548,22.57732,0.37943,6147
3.92033,32.40382,22.51977,0.5596,6242
3.93033,32.79911,22.4625,0.49696,6383
3.94033,33.09904,22.40553,0.46172,6538
3.95033,33.35479,22.34884,0.59289,6659
3.96032,33.82388,22.29244,0.46771,6656
3.97032,34.09927,22.23633,0.41146,6900
3.98032,34.56226,22.18049,0.42611,6985
3.99032,34.86623,22.12494,0.5566,7156
4.00032,35.28169,22.06966,0.53531,7169
4.01031,35.30232,22.01466,0.51298,7197
4.02031,35.78133,21.95993,0.49238,7394
4.03031,35.99238,21.90548,0.43355,7473
4.04031,36.20502,21.85129,0.47997,7538
4.05031,36.02099,21.79737,0.45364,7619
4.06031,36.46831,21.74372,0.49014,7670
4.0703,36.517,21.69033,0.51519,7880
4.0803,36.93451,21.63721,0.48356,7994
4.0903,37.06031,21.58434,0.46431,8023
4.1003,37.14855,21.53173,0.56195,8084
4.1103,37.3062,21.47938,0.51919,8259
4.1203,37.42918,21.42728,0.5121,8275
4.13029,37.53755,21.37543,0.44738,8311
4.14029,37.65264,21.32383,0.52937,8213
