[PowderGraph 1]
2thetadeg	d-value	intx	sigx	count
   4.44019     19.88423  520.25797    2.84813       3553
   4.45019     19.83958  516.00355    3.44324       3604
   4.46019     19.79513  512.20747    2.71821       3520
   4.47019     19.75088  508.18116    2.49354       3598
   4.48018     19.70682  504.04492    2.33537       3537
   4.49018     19.66296  499.22393    3.41510       3663
   4.50018     19.61930  495.78247    2.65306       3595
   4.51018     19.57583  491.54479    2.27132       3679
   4.52018     19.53255  487.76215    3.01053       3661
   4.53018     19.48947  483.64066    2.73039       3692
   4.54017     19.44657  480.14650    2.97866       3804
   4.55017     19.40386  476.63113    2.22035       3769
   4.56017     19.36134  472.68349    2.37532       3753
   4.57017     19.31901  468.79421    2.43428       3773
   4.58017     19.27686  465.15392    2.82728       3829
   4.59016     19.23489  461.26098    3.28185       3937
   4.60016     19.19311  457.55810    2.92598       3784
   4.61016     19.15151  453.90244    1.99078       3942
   4.62016     19.11008  450.44010    2.38833       3878
   4.63016     19.06884  446.82507    2.49421       3937
   4.64016     19.02778  443.80625    2.27196       3939
   4.65015     18.98689  440.18388    2.10919       3960
   4.66015     18.94617  436.23248    2.60643       3989
   4.67015     18.90563  433.48253    2.56082       3943
   4.68015     18.86527  429.48230    2.90503       4170
   4.69015     18.82507  426.62155    2.40104       4052
   4.70014     18.78505  422.87392    2.05967       4130
   4.71014     18.74520  419.70753    2.50003       4010
   4.72014     18.70552  416.43749    2.14323       4095
   4.73014     18.66600  413.38493    2.19026       4143
   4.74014     18.62665  409.98046    2.03625       4268
   4.75014     18.58747  406.93694    2.30073       4189
   4.76013     18.54845  403.33807    2.02975       4234
   4.77013     18.50959  400.32086    2.74805       4294
   4.78013     18.47090  397.39359    2.55017       4388
   4.79013     18.43237  394.38146    2.22523       4390
   4.80013     18.39400  391.05501    2.17666       4313
   4.81012     18.35579  387.93685    2.09086       4266
   4.82012     18.31774  384.56993    1.57052       4456
   4.83012     18.27984  381.94149    2.66318       4401
   4.84012     18.24210  378.61652    2.31532       4538
   4.85012     18.20452  375.85704    1.92386       4437
   4.86012     18.16709  372.50397    2.15923       4545
   4.87011     18.12982  369.92476    3.02284       4618
   4.88011     18.09270  367.13275    1.96962       4539
   4.89011     18.05573  364.31321    1.87668       4589
   4.90011     18.01891  361.33095    1.69913       4615
   4.91011     17.98224  358.34286    2.66930       4670
   4.92010     17.94572  355.61515    2.23317       4630
   4.93010     17.90935  352.82381    1.90089       4664
   4.94010     17.87313  350.09095    2.38289       4698
   4.95010     17.83705  347.58422    1.63387       4760
   4.96010     17.80112  344.59792    1.84977       4798
   4.97010     17.76533  342.45001    1.86725       4785
   4.98009     17.72969  339.57009    1.85691       4809
   4.99009     17.69419  337.11513    2.78684       4823
   5.00009     17.65883  334.19251    1.51697       4933
   5.01009     17.62361  331.95244    2.40640       4954
   5.02009     17.58853  329.44429    2.02353       4952
   5.03008     17.55359  326.78010    2.01428       4930
   5.04008     17.51879  324.19064    1.86114       4998
   5.05008     17.48413  322.13624    1.47176       4986
   5.06008     17.44961  319.72729    1.69211       5088
   5.07008     17.41522  317.48994    1.93851       5109
   5.08007     17.38097  315.02628    2.10990       5173
   5.09007     17.34685  312.47673    1.72353       5297
   5.10007     17.31287  310.38537    1.59624       5236
