2thetadeg,d-value,intx,sigx,count
2.83052,31.18748,0,0,0
2.84051,31.07773,0,0,0
2.85051,30.96874,0,0,0
2.86051,30.86052,0,0,0
2.87051,30.75305,0,0,0
2.88051,30.64633,0,0,0
2.89051,30.54035,0,0,0
2.9005,30.43509,0,0,0
2.9105,30.33056,0,0,0
2.9205,30.22675,0,0,0
2.9305,30.12364,0,0,0
2.9405,30.02124,0,0,0
2.9505,29.91953,0,0,0
2.96049,29.81851,0,0,0
2.97049,29.71816,0,0,0
2.98049,29.6185,0,0,0
2.99049,29.51949,0,0,0
3.00049,29.42115,0,0,0
3.01049,29.32346,0,0,0
3.02048,29.22642,0,0,0
3.03048,29.13001,0,0,0
3.04048,29.03425,0,0,0
3.05048,28.9391,0,0,0
3.06048,28.84459,0,0,0
3.07048,28.75068,0,0,0
3.08047,28.65739,243.11816,6.34317,1
3.09047,28.5647,0,0,0
3.10047,28.47261,0,0,0
3.11047,28.38111,0,0,0
3.12047,28.29019,0,0,0
3.13047,28.19986,232.06696,6.24025,1
3.14046,28.1101,223.93284,6.01067,1
3.15046,28.02091,221.83378,3.84564,1
3.16046,27.93229,219.73472,3.8274,1
3.17046,27.84423,217.63566,3.80907,1
3.18046,27.75672,215.53659,6.09874,1
3.19045,27.66975,216.42223,3.79844,1
3.20045,27.58334,217.30787,6.08823,1
3.21045,27.49746,210.46152,3.74577,1
3.22045,27.41211,203.61518,3.68434,1
3.23045,27.32729,196.76883,5.79988,1
3.24045,27.243,212.48078,6.15951,1
3.25044,27.15922,195.2643,3.60799,1
3.26044,27.07596,195.6666,5.65785,5
3.27044,26.9932,193.11935,1.60466,5
3.28044,26.91095,191.94208,4.09688,9
3.29044,26.8292,192.55558,3.98742,13
3.30044,26.74795,189.86488,5.686,19
3.31043,26.66719,188.74105,0.69567,26
3.32043,26.58691,187.48839,3.31695,39
3.33043,26.50712,186.18451,5.82396,53
3.34043,26.4278,184.83854,2.826,74
3.35043,26.34896,183.60378,5.61293,95
3.36043,26.27058,182.26525,2.80874,117
3.37042,26.19268,180.74562,0.27882,155
3.38042,26.11523,179.74421,3.22052,187
3.39042,26.03824,178.20885,0.2303,224
3.40042,25.9617,177.15385,5.53066,254
3.41042,25.88561,175.8964,2.27632,301
3.42042,25.80997,174.3538,3.2194,348
3.43041,25.73476,173.17031,5.5065,376
3.44041,25.66,171.70563,2.78251,437
3.45041,25.58566,170.53418,3.43064,462
3.46041,25.51176,169.28217,3.93679,516
3.47041,25.43828,167.90981,2.84063,570
3.48041,25.36523,166.75099,2.46829,598
3.4904,25.29259,165.3616,2.73185,649
3.5004,25.22037,164.26373,2.54987,664
3.5104,25.14856,162.87132,2.84212,716
3.5204,25.07716,161.75284,2.29258,759
3.5304,25.00616,160.56754,3.79835,785
3.5404,24.93556,159.50366,3.32516,847
3.55039,24.86536,158.33289,1.92831,831
3.56039,24.79556,157.29265,3.08476,918
3.57039,24.72615,156.16408,1.90077,927
3.58039,24.65712,154.9824,4.71596,978
3.59039,24.58848,154.01437,2.23069,1005
3.60038,24.52022,152.99599,2.72859,1032
3.61038,24.45234,152.0239,2.24832,1078
3.62038,24.38483,151.07233,2.50572,1092
3.63038,24.31769,150.14927,2.29109,1143
3.64038,24.25093,149.05771,1.88469,1170
3.65038,24.18453,148.01751,3.36317,1223
3.66037,24.11849,147.12628,2.54309,1229
3.67037,24.05281,146.21413,2.31649,1282
3.68037,23.98749,145.37301,2.74631,1313
3.69037,23.92253,144.46269,1.54217,1343
3.70037,23.85791,143.61398,2.82412,1374
3.71037,23.79364,142.69442,2.78723,1352
3.72036,23.72972,141.73772,1.74586,1387
3.73036,23.66614,140.77123,5.35132,1411
3.74036,23.6029,139.92567,1.92786,1433
3.75036,23.54,139.02377,4.36156,1437
3.76036,23.47743,138.31541,1.85412,1400
3.77036,23.4152,137.5121,1.89478,1492
3.78035,23.35329,136.78602,1.8805,1451
3.79035,23.29171,135.95956,2.2015,1528
3.80035,23.23046,135.1587,2.00043,1470
3.81035,23.16952,134.11602,2.10587,1586
3.82035,23.10891,133.42383,2.40218,1552
3.83035,23.04861,132.71249,2.12157,1527
3.84034,22.98863,132.0206,1.91094,1577
3.85034,22.92895,131.2533,2.07738,1570
3.86034,22.86959,130.41296,4.95041,1598
3.87034,22.81053,129.65699,2.56558,1542
3.88034,22.75178,129.0602,1.46906,1587
3.89034,22.69333,128.059,1.77671,1613
3.90033,22.63518,127.2267,1.7519,1659
3.91033,22.57732,126.37198,1.73881,1704
3.92033,22.51977,125.59015,2.34758,1701
3.93033,22.4625,124.96413,2.21497,1739
3.94033,22.40553,124.26844,2.10353,1668
3.95033,22.34884,123.54108,3.18346,1721
3.96032,22.29244,122.84189,2.60776,1674
3.97032,22.23633,122.18962,1.6707,1630
3.98032,22.18049,121.27998,1.31423,1688
3.99032,22.12494,120.615,1.92498,1728
4.00032,22.06966,119.87999,1.8305,1752
4.01031,22.01466,119.15653,2.21306,1777
4.02031,21.95993,118.44218,2.62235,1830
4.03031,21.90548,117.79193,1.60295,1848
4.04031,21.85129,117.2116,1.80518,1858
4.05031,21.79737,116.74144,2.2442,1750
4.06031,21.74372,116.12744,1.69896,1783
4.0703,21.69033,115.43337,2.37465,1796
4.0803,21.63721,114.74854,1.40418,1816
4.0903,21.58434,114.16143,1.70542,1866
4.1003,21.53173,113.66126,2.16311,1828
4.1103,21.47938,113.07573,1.43088,1916
4.1203,21.42728,112.53346,2.09367,1885
4.13029,21.37543,112.00721,1.38196,1977
4.14029,21.32383,111.49383,1.77153,1890
4.15029,21.27248,111.00542,1.57411,1974
4.16029,21.22138,110.44121,2.0601,1965
4.17029,21.17053,109.92919,1.54265,2032
4.18029,21.11992,109.27683,1.51264,2014
4.19028,21.06954,108.63695,1.2881,2092
4.20028,21.01941,108.11356,1.23111,2150
4.21028,20.96952,107.5018,1.34461,2170
4.22028,20.91986,106.96188,1.95057,2180
4.23028,20.87044,106.30533,1.23989,2286
4.24028,20.82125,105.79953,1.41646,2403
4.25027,20.7723,105.2543,1.22117,2432
4.26027,20.72357,104.55697,1.33631,2542
4.27027,20.67507,104.07218,1.60644,2586
4.28027,20.6268,103.3447,1.26901,2683
4.29027,20.57875,102.8218,1.47643,2738
4.30027,20.53092,102.14815,1.09881,2807
4.31026,20.48332,101.7245,1.19231,2872
4.32026,20.43594,101.10067,1.10979,3015
4.33026,20.38878,100.69999,1.28013,3025
4.34026,20.34183,100.20317,1.36867,3168
4.35026,20.2951,99.67039,1.44953,3239
4.36026,20.24859,99.21707,1.45766,3227
4.37025,20.20228,98.64163,1.16428,3347
4.38025,20.15619,98.28312,1.29175,3384
4.39025,20.11031,97.54782,1.24227,3338
4.40025,20.06464,97.33375,0.91354,3403
4.41025,20.01917,96.79838,1.17265,3486
4.42024,19.97392,96.55391,1.43409,3455
4.43024,19.92886,95.94566,1.2908,3574
4.44024,19.88401,95.68947,1.36923,3605
4.45024,19.83936,95.18744,1.05484,3659
4.46024,19.79491,94.87201,1.22408,3625
4.47024,19.75065,94.32441,1.47113,3601
4.48023,19.7066,94.08213,0.98902,3651
4.49023,19.66274,93.6207,1.16391,3712
4.50023,19.61908,93.30893,1.23041,3644
4.51023,19.57561,92.88855,1.23676,3710
4.52023,19.53233,92.68093,1.04077,3740
4.53023,19.48925,92.20089,1.10209,3819
4.54022,19.44635,91.9539,1.08474,3866
4.55022,19.40364,91.59135,1.26529,3778
4.56022,19.36112,91.11366,1.00374,3848
4.57022,19.31879,90.89331,1.15528,3828
4.58022,19.27664,90.45859,1.53851,3926
4.59022,19.23468,90.29156,1.0562,3950
4.60021,19.19289,89.68565,1.14596,3894
4.61021,19.15129,89.50642,0.9659,3904
4.62021,19.10987,89.0735,1.00934,4005
4.63021,19.06863,88.86137,1.42861,3980
4.64021,19.02756,88.34604,0.87881,3974
4.65021,18.98667,88.15874,1.01913,4008
4.6602,18.94596,87.75295,1.20289,4070
4.6702,18.90542,87.53379,1.12085,4058
4.6802,18.86506,87.18148,1.05229,4150
4.6902,18.82486,86.88036,1.20795,4141
4.7002,18.78484,86.54462,1.19341,4132
4.7102,18.74499,86.22327,0.96352,4130
4.72019,18.70531,85.86487,0.86963,4143
4.73019,18.66579,85.62566,0.93626,4200
4.74019,18.62644,85.27176,1.10501,4210
4.75019,18.58726,85.01556,0.916,4288
4.76019,18.54824,84.7629,1.11695,4301
4.77018,18.50939,84.4628,1.1952,4359
4.78018,18.47069,84.18116,1.0906,4389
4.79018,18.43216,83.83516,0.98392,4391
4.80018,18.39379,83.58239,1.0165,4386
4.81018,18.35558,83.16341,0.89966,4371
4.82018,18.31753,83.05132,1.07533,4444
4.83017,18.27964,82.68886,0.81153,4463
4.84017,18.2419,82.5898,1.12778,4478
4.85017,18.20432,82.17418,1.11056,4585
4.86017,18.16689,82.04985,0.96436,4579
4.87017,18.12962,81.68313,0.9038,4633
4.88017,18.0925,81.52589,1.05285,4544
4.89016,18.05553,81.18159,0.92491,4663
4.90016,18.01871,81.08704,1.00965,4649
4.91016,17.98204,80.74331,0.88756,4791
4.92016,17.94552,80.54417,1.39892,4691
4.93016,17.90915,80.25466,0.81465,4750
4.94016,17.87293,80.15809,0.92769,4804
4.95015,17.83685,79.84542,0.8416,4866
4.96015,17.80092,79.72349,0.94521,4873
4.97015,17.76513,79.39418,0.92275,4851
4.98015,17.72949,79.26619,0.93979,4870
4.99015,17.69399,79.00365,0.90827,4987
5.00015,17.65863,78.89719,0.99678,5000
5.01014,17.62341,78.56945,0.81635,5092
5.02014,17.58833,78.47922,1.13476,5019
